layer,case,pair,mean_angle_deg,min_angle_deg,avg_cos2
final_ln,trained,p0_vs_p1,12.66747808116293,12.218731163065243,0.9518553841017595
final_ln,trained,p0_vs_p2,25.77818536743964,16.521107459215187,0.7947830634218656
final_ln,trained,p1_vs_p2,33.78377667023413,26.29258378446824,0.6843108676892281
final_ln,trained,p0_vs_block,80.652479096955,72.17445210666644,0.046969812911715966
final_ln,trained,p1_vs_block,82.47307928480998,75.65410573598648,0.030772586845613032
final_ln,trained,p2_vs_block,79.02636490464278,68.25744745165149,0.06861805945916317
final_ln,control_random_init,p0_vs_p1,8.17944557925049,6.747425411253914,0.9791588921271295
final_ln,control_random_init,p0_vs_p2,12.318434790434928,9.798467618268464,0.952726855863518
final_ln,control_random_init,p1_vs_p2,18.476147491992187,15.443794868042037,0.8973318580736177
final_ln,control_random_init,p0_vs_block,84.64808660319733,81.49794074495483,0.011667061444998909
final_ln,control_random_init,p1_vs_block,84.19723640836506,80.31428797591956,0.014714101635101678
final_ln,control_random_init,p2_vs_block,82.45935268343959,78.62914707723108,0.021529726268822956
layer1,trained,p0_vs_p1,7.106014423908871,5.392710657478803,0.9838303626865272
layer1,trained,p0_vs_p2,8.120541171821133,5.558219058397818,0.9781278254984367
layer1,trained,p1_vs_p2,12.937879429063639,9.843639293010266,0.9472496982844947
layer1,trained,p0_vs_block,82.11177539084409,78.10812946972185,0.023526275196361374
layer1,trained,p1_vs_block,81.6707128493178,77.3280178343638,0.026478135308571904
layer1,trained,p2_vs_block,81.607389307201,78.49180410913615,0.02413110343735174
layer1,control_random_init,p0_vs_p1,9.090728293772488,6.767935691471396,0.9734759324177973
layer1,control_random_init,p0_vs_p2,11.468881186300244,10.737224430350595,0.9603142051794022
layer1,control_random_init,p1_vs_p2,18.28560503368265,17.33324704512071,0.901336614531679
layer1,control_random_init,p0_vs_block,82.55952987638435,75.20594357422972,0.03260180253417927
layer1,control_random_init,p1_vs_block,82.33948935485941,74.81061863662089,0.03432734521341508
layer1,control_random_init,p2_vs_block,82.07904629788857,74.63258120127038,0.03514886819737904
