process,steer,scale,nll_per_token,ppl,ppl_delta_vs_base,delta_p1,delta_p2,delta_p3
p0,dec_p0,0.00,0.97557873,2.65270196,0.00000000,0.00000000,0.00000000,0.00000000
p0,dec_p0,0.50,0.97993872,2.66429296,0.01159100,-0.19753586,0.19626626,0.00126955
p0,dec_p0,1.00,0.99183965,2.69618996,0.04348800,-0.30306119,0.35185710,-0.04879591
p0,dec_p0,1.50,1.01083019,2.74788133,0.09517937,-0.34554160,0.45859823,-0.11305672
p0,dec_p0,2.00,1.03642160,2.81911103,0.16640907,-0.36026299,0.53013361,-0.16987064
p0,dec_p0,3.00,1.10533864,3.02024706,0.36754510,-0.36643380,0.60990858,-0.24347481
p0,dec_p0,4.00,1.19439473,3.30155883,0.64885687,-0.36699277,0.64377606,-0.27678323
p0,dec_p0,6.00,1.41718113,4.12547486,1.47277290,-0.36704370,0.66194475,-0.29490107
p1,dec_p1,0.00,1.09411530,2.98653931,0.00000000,0.00000000,0.00000000,0.00000000
p1,dec_p1,0.50,1.09805705,2.99833475,0.01179544,0.22080031,-0.19433239,-0.02646790
p1,dec_p1,1.00,1.10895218,3.03118058,0.04464127,0.39115283,-0.30527824,-0.08587468
p1,dec_p1,1.50,1.12701752,3.08643753,0.09989821,0.49450848,-0.35082090,-0.14368767
p1,dec_p1,2.00,1.15240200,3.16578800,0.17924869,0.55275750,-0.36641029,-0.18634731
p1,dec_p1,3.00,1.22534016,3.40532425,0.41878493,0.60429382,-0.37281457,-0.23147929
p1,dec_p1,4.00,1.32737445,3.77112911,0.78458979,0.62121856,-0.37339172,-0.24782690
p1,dec_p1,6.00,1.61093388,5.00748542,2.02094611,0.62867618,-0.37344623,-0.25522989
p2,dec_p2,0.00,0.73309845,2.08152010,0.00000000,0.00000000,0.00000000,0.00000000
p2,dec_p2,0.50,0.73661716,2.08885727,0.00733717,0.21860045,-0.07954256,-0.13905787
p2,dec_p2,1.00,0.74574044,2.10800171,0.02648160,0.41465807,-0.15680411,-0.25785387
p2,dec_p2,1.50,0.76064496,2.13965576,0.05813566,0.54043412,-0.20941044,-0.33102357
p2,dec_p2,2.00,0.78148207,2.18470775,0.10318765,0.60440308,-0.23784776,-0.36655533
p2,dec_p2,3.00,0.84139896,2.31960975,0.23808965,0.64522254,-0.25757226,-0.38765037
p2,dec_p2,4.00,0.92596749,2.52430932,0.44278922,0.65232080,-0.26144731,-0.39087343
p2,dec_p2,6.00,1.16690209,3.21202663,1.13050653,0.65372694,-0.26231447,-0.39141244
